resume_index,job_role,resume_skills,required_skills,matched_skills,missing_skills,required_skill_count,matched_skill_count,skill_alignment_percentage
28,Conservation Officer,"budget management, communication, conservation, creativity, environmental knowledge, law enforcement, node.js, penetration testing, problem solving, safety, user experience","communication, conservation, environmental knowledge, kubernetes, law enforcement, problem solving, safety","communication, conservation, environmental knowledge, law enforcement, problem solving, safety",kubernetes,7,6,85.71
29,Director,"budget control, communication, database design, decision making, department management, gcp, graphql, leadership, strategic planning, user experience","budget control, communication, compliance, decision making, department management, kotlin, leadership, responsive design, strategic planning, time management","budget control, communication, decision making, department management, leadership, strategic planning","compliance, kotlin, responsive design, time management",10,6,60.0
30,Producer,"angular, communication, creativity, leadership, negotiation, problem solving, production management, technical knowledge","communication, creativity, leadership, problem solving, production management, technical knowledge, web design","communication, creativity, leadership, problem solving, production management, technical knowledge",web design,7,6,85.71
31,Game Developer,"app testing, c#, c++, game physics, graphics programming, html, penetration testing, sql, time management, unity, unreal engine","c#, c++, documentation, game physics, go, graphics programming, pl management, presentation skills, pytorch, statistics, unity, unreal engine","c#, c++, game physics, graphics programming, unity, unreal engine","documentation, go, pl management, presentation skills, pytorch, statistics",12,6,50.0
32,Geologist,"analysis, field work, geology, html, negotiation, problem solving, research, technical knowledge, tensorflow","analysis, field work, geology, problem solving, research, technical knowledge","analysis, field work, geology, problem solving, research, technical knowledge",,6,6,100.0
33,Teacher,"classroom management, communication, curriculum development, figma, html, instruction, market research, patience, student assessment","classroom management, communication, curriculum development, instruction, patience, student assessment","classroom management, communication, curriculum development, instruction, patience, student assessment",,6,6,100.0
34,Editor,"android, attention to detail, business acumen, communication, content editing, documentation, management, organization, technical writing, writing","attention to detail, communication, content editing, management, organization, rust, writing","attention to detail, communication, content editing, management, organization, writing",rust,7,6,85.71
35,Solutions Engineer,"adaptability, c#, communication, customer relations, presentation, product knowledge, sales, seo, solution design, technical problem solving","communication, creativity, css, customer relations, java, mobile ui, presentation, product knowledge, solution design, technical problem solving, terraform, ux","communication, customer relations, presentation, product knowledge, solution design, technical problem solving","creativity, css, java, mobile ui, terraform, ux",12,6,50.0
36,Email Marketing Specialist,"analytics, automation platforms, azure, b testing, copywriting, email campaign management, sales, segmentation","analytics, automation platforms, b testing, copywriting, email campaign management, scrum, segmentation, wireframing","analytics, automation platforms, b testing, copywriting, email campaign management, segmentation","scrum, wireframing",8,6,75.0
37,Production Manager,"communication, equipment maintenance, postgresql, problem solving, production planning, quality control, safety, staff management","cd, ci, equipment maintenance, problem solving, production planning, quality control, safety, staff management","equipment maintenance, problem solving, production planning, quality control, safety, staff management","cd, ci",8,6,75.0
38,IoT Engineer,"adaptability, aws, c++, cd, ci, embedded systems, iot technology, mysql, networking, pl management, sensors, system design","c++, confluence, embedded systems, iot technology, networking, sensors, system design","c++, embedded systems, iot technology, networking, sensors, system design",confluence,7,6,85.71
39,COO,"business operations, communication, decision making, docker, leadership, operations management, seo, strategic thinking","adobe creative suite, agile, business operations, communication, decision making, leadership, mongodb, operations management, php, power bi, security protocols, serverless, strategic thinking, typescript","business operations, communication, decision making, leadership, operations management, strategic thinking","adobe creative suite, agile, mongodb, php, power bi, security protocols, serverless, typescript",14,6,42.86
40,ETL Developer,"agile, data integration, data quality, database design, etl tools, performance, perl, problem solving, sql","data integration, data quality, etl tools, mobile security, performance, problem solving, sql","data integration, data quality, etl tools, performance, problem solving, sql",mobile security,7,6,85.71
41,DevOps Engineer,"ansible, aws, cd, ci, docker, documentation, graphic design, kubernetes, linux, query optimization, scikit-learn, scripting","ansible, aws, cd, ci, docker, kubernetes, linux, node.js, penetration testing, query optimization, scripting","ansible, aws, cd, ci, docker, kubernetes, linux, query optimization, scripting","node.js, penetration testing",11,9,81.82
42,Counselor,"active listening, android, ansible, c#, c++, communication, counseling, empathy, postgresql, problem solving, treatment planning","active listening, azure, business acumen, communication, counseling, empathy, postgresql, problem solving, rest api, treatment planning","active listening, communication, counseling, empathy, postgresql, problem solving, treatment planning","azure, business acumen, rest api",10,7,70.0
43,Business Analyst,"business development, documentation, excel, javascript, process improvement, prototyping, requirements gathering, responsive design, sql, stakeholder communication, web accessibility","documentation, excel, numpy, process improvement, requirements gathering, sql, stakeholder communication","documentation, excel, process improvement, requirements gathering, sql, stakeholder communication",numpy,7,6,85.71
44,Policy Advisor,"analysis, communication, kubernetes, mobile security, policy expertise, pytorch, research, responsive design, sales, strategic thinking, writing","adaptability, analysis, app testing, communication, confluence, go, jira, mobile security, perl, php, policy expertise, presentation skills, research, risk assessment, shell scripting, strategic thinking, writing","analysis, communication, mobile security, policy expertise, research, strategic thinking, writing","adaptability, app testing, confluence, go, jira, perl, php, presentation skills, risk assessment, shell scripting",17,7,41.18
45,Massage Therapist,"anatomy, communication, customer service, empathy, flutter, machine learning, massage therapy, penetration testing, problem solving","agile, anatomy, cassandra, communication, customer service, empathy, massage therapy, mobile security, problem solving","anatomy, communication, customer service, empathy, massage therapy, problem solving","agile, cassandra, mobile security",9,6,66.67
46,Park Ranger,"cd, ci, communication, conservation, css, environmental knowledge, outdoor skills, problem solving, public safety, react native","communication, conservation, database design, environmental knowledge, mentoring, outdoor skills, problem solving, public safety, react native, ruby, strategic planning","communication, conservation, environmental knowledge, outdoor skills, problem solving, public safety, react native","database design, mentoring, ruby, strategic planning",11,7,63.64
47,Botanist,"communication, data analysis, field work, flutter, microservices, plant science, problem solving, project management, research, user experience","communication, data analysis, field work, plant science, problem solving, research, user experience","communication, data analysis, field work, plant science, problem solving, research, user experience",,7,7,100.0
48,Data Analyst,"app testing, confluence, data visualization, excel, figma, python, sql, statistical analysis, tableau","ansible, data visualization, excel, leadership, python, sql, statistical analysis, tableau","data visualization, excel, python, sql, statistical analysis, tableau","ansible, leadership",8,6,75.0
49,Technical Account Manager,"account management, adobe creative suite, client relations, communication, jenkins, problem solving, product knowledge, pytorch, technical knowledge","account management, client relations, communication, presentation skills, problem solving, product knowledge, technical knowledge","account management, client relations, communication, problem solving, product knowledge, technical knowledge",presentation skills,7,6,85.71
50,Strategy Consultant,"analysis, communication, documentation, leadership, market knowledge, problem solving, query optimization, shell scripting, strategic thinking, user interface, vue.js","analysis, app testing, communication, data analysis, leadership, market knowledge, problem solving, scrum, strategic thinking, tableau","analysis, communication, leadership, market knowledge, problem solving, strategic thinking","app testing, data analysis, scrum, tableau",10,6,60.0
51,Museum Curator,"art knowledge, communication, curation, java, management, microservices, problem solving, research","art knowledge, communication, curation, figma, management, problem solving, react, research, user experience","art knowledge, communication, curation, management, problem solving, research","figma, react, user experience",9,6,66.67
52,Physician,"angular, decision making, diagnosis, empathy, go, medical knowledge, network security, numpy, patient communication, rest api, treatment","data analysis, decision making, diagnosis, empathy, javascript, kubernetes, medical knowledge, patient communication, rest api, ruby, statistics, technical writing, treatment","decision making, diagnosis, empathy, medical knowledge, patient communication, rest api, treatment","data analysis, javascript, kubernetes, ruby, statistics, technical writing",13,7,53.85
53,Kotlin Developer,"android development, coroutines, java interop, kanban, kotlin, mobile development, problem solving, react","android development, business acumen, coroutines, java interop, kanban, kotlin, mobile development, problem solving","android development, coroutines, java interop, kanban, kotlin, mobile development, problem solving",business acumen,8,7,87.5
54,Store Manager,"agile, customer relations, inventory, leadership, problem solving, sales, staff management, store management, web design","customer relations, inventory, perl, problem solving, risk assessment, sales, staff management, store management","customer relations, inventory, problem solving, sales, staff management, store management","perl, risk assessment",8,6,75.0
55,Sous Chef,"creativity, culinary skills, financial analysis, food safety, kitchen management, kubernetes, leadership, penetration testing, serverless, training","adaptability, creativity, css, culinary skills, flutter, food safety, kitchen management, leadership, rest api, training","creativity, culinary skills, food safety, kitchen management, leadership, training","adaptability, css, flutter, rest api",10,6,60.0
56,Park Ranger,"communication, confluence, conservation, css, environmental knowledge, flutter, mysql, outdoor skills, problem solving, public safety","communication, conservation, database design, environmental knowledge, mentoring, outdoor skills, problem solving, public safety, react native, ruby, strategic planning","communication, conservation, environmental knowledge, outdoor skills, problem solving, public safety","database design, mentoring, react native, ruby, strategic planning",11,6,54.55
57,Research Scientist,"data analysis, experimentation, html, problem solving, research, scientific knowledge, scrum, writing","data analysis, experimentation, microservices, power bi, problem solving, research, scientific knowledge, writing","data analysis, experimentation, problem solving, research, scientific knowledge, writing","microservices, power bi",8,6,75.0
58,Coach,"athletic knowledge, coaching, communication, kanban, leadership, motivation, pl management, risk assessment, training program design","athletic knowledge, coaching, communication, leadership, motivation, prototyping, training program design","athletic knowledge, coaching, communication, leadership, motivation, training program design",prototyping,7,6,85.71
59,Joomla Developer,"c#, cms, javascript, jenkins, joomla, mysql, numpy, php, theme development, web design","c++, cms, critical thinking, financial analysis, gcp, go, javascript, jenkins, joomla, mobile security, mysql, php, sql, theme development, web accessibility","cms, javascript, jenkins, joomla, mysql, php, theme development","c++, critical thinking, financial analysis, gcp, go, mobile security, sql, web accessibility",15,7,46.67
60,Sales Executive,"client relationships, communication, crm, flutter, jira, negotiation, pl management, product knowledge, selling","c#, cd, ci, client relationships, communication, crm, kotlin, negotiation, product knowledge, python, responsive design, selling, strategic planning, swift","client relationships, communication, crm, negotiation, product knowledge, selling","c#, cd, ci, kotlin, python, responsive design, strategic planning, swift",14,6,42.86
61,Cashier,"accuracy, cash handling, communication, css, customer service, flutter, friendliness, point of sale, problem solving, time management, user experience","accuracy, agile, cash handling, communication, customer service, friendliness, graphql, point of sale","accuracy, cash handling, communication, customer service, friendliness, point of sale","agile, graphql",8,6,75.0
62,Database Administrator,"backup recovery, database optimization, financial analysis, linux, marketing, mongodb, security, sql","backup recovery, database optimization, gcp, linux, mongodb, security, sql","backup recovery, database optimization, linux, mongodb, security, sql",gcp,7,6,85.71
63,Salesforce Developer,"apex, crm, data analysis, lightning, mobile security, mobile ui, mysql, problem solving, salesforce, ux, visualforce","adobe creative suite, apex, crm, lightning, problem solving, salesforce, visualforce","apex, crm, lightning, problem solving, salesforce, visualforce",adobe creative suite,7,6,85.71
64,Network Engineer,"adobe creative suite, cisco, configuration, flutter, ip, networking, routing, security, tcp","agile, app testing, cisco, configuration, ip, networking, routing, security, swift, tcp","cisco, configuration, ip, networking, routing, security, tcp","agile, app testing, swift",10,7,70.0
65,Announcer,"communication, problem solving, professionalism, pronunciation, public speaking, pytorch, quick thinking, responsive design, scala, swift, voice skills","adobe creative suite, communication, professionalism, pronunciation, public speaking, quick thinking, voice skills","communication, professionalism, pronunciation, public speaking, quick thinking, voice skills",adobe creative suite,7,6,85.71
66,Drupal Developer,"adobe creative suite, azure, communication, drupal, gcp, javascript, module development, mysql, php, theme development","agile, cd, ci, drupal, encryption, javascript, module development, mysql, php, scrum, theme development","drupal, javascript, module development, mysql, php, theme development","agile, cd, ci, encryption, scrum",11,6,54.55
67,Non-profit Director,"budget management, c++, cloudformation, communication, documentation, fundraising, non-profit leadership, strategic planning, vision","budget management, communication, flask, fundraising, go, machine learning, non-profit leadership, rust, strategic planning, vision","budget management, communication, fundraising, non-profit leadership, strategic planning, vision","flask, go, machine learning, rust",10,6,60.0
68,DevSecOps Engineer,"cd, ci, compliance, container security, devops, linux, marketing, microservices, security, typescript","agile, cd, ci, communication, compliance, container security, devops, java, jira, linux, mobile ui, network security, security, statistics, ux","cd, ci, compliance, container security, devops, linux, security","agile, communication, java, jira, mobile ui, network security, statistics, ux",15,7,46.67
69,Dentist,"attention to detail, clinical skills, compassion, dental procedures, diagnosis, firewalls, flask, graphql, patient communication, web design","attention to detail, clinical skills, communication, compassion, dental procedures, diagnosis, html, patient communication, pytorch, sql","attention to detail, clinical skills, compassion, dental procedures, diagnosis, patient communication","communication, html, pytorch, sql",10,6,60.0
70,Sales Associate,"communication, critical thinking, customer service, financial analysis, marketing, problem solving, product knowledge, sales, teamwork","cassandra, communication, confluence, customer service, problem solving, product knowledge, sales, teamwork","communication, customer service, problem solving, product knowledge, sales, teamwork","cassandra, confluence",8,6,75.0
71,Looker Developer,"analytics, dashboard development, data visualization, decision making, gcp, go, looker, lookml, mysql, sql","analytics, cassandra, critical thinking, dashboard development, data visualization, looker, lookml, microservices, scikit-learn, sql","analytics, dashboard development, data visualization, looker, lookml, sql","cassandra, critical thinking, microservices, scikit-learn",10,6,60.0
72,Real Estate Broker,"adobe creative suite, business development, cloudformation, communication, negotiation, real estate knowledge, sales leadership, swift, team management","business development, communication, decision making, negotiation, nosql, real estate knowledge, sales leadership, team management","business development, communication, negotiation, real estate knowledge, sales leadership, team management","decision making, nosql",8,6,75.0
73,Cashier,"accuracy, app testing, cash handling, communication, customer service, friendliness, point of sale, technical writing","accuracy, agile, cash handling, communication, customer service, friendliness, graphql, point of sale","accuracy, cash handling, communication, customer service, friendliness, point of sale","agile, graphql",8,6,75.0
74,Manufacturing Engineer,"cad, equipment knowledge, go, jira, network security, problem solving, process design, production planning, quality control","cad, decision making, equipment knowledge, market research, mobile security, problem solving, process design, production planning, prototyping, quality control","cad, equipment knowledge, problem solving, process design, production planning, quality control","decision making, market research, mobile security, prototyping",10,6,60.0
75,Shopify Developer,"adobe creative suite, api integration, e-commerce, financial analysis, javascript, liquid, marketing, problem solving, shopify, strategic planning, tensorflow","api integration, cloudformation, e-commerce, html, java, javascript, jupyter, liquid, mobile ui, problem solving, shopify, typescript, ux","api integration, e-commerce, javascript, liquid, problem solving, shopify","cloudformation, html, java, jupyter, mobile ui, typescript, ux",13,6,46.15
76,BI Analyst,"data analysis, deep learning, excel, power bi, reporting, scikit-learn, sql, tableau","cd, ci, data analysis, excel, power bi, reporting, rust, sql, tableau, terraform","data analysis, excel, power bi, reporting, sql, tableau","cd, ci, rust, terraform",10,6,60.0
77,Graphic Designer,"adobe creative suite, attention to detail, branding, creativity, design software, kotlin, scikit-learn, user experience, visual communication","adobe creative suite, attention to detail, branding, creativity, design software, documentation, go, javascript, jenkins, php, user experience, visual communication, web accessibility","adobe creative suite, attention to detail, branding, creativity, design software, user experience, visual communication","documentation, go, javascript, jenkins, php, web accessibility",13,7,53.85
78,Kafka Developer,"apache kafka, distributed systems, event processing, oracle, pandas, problem solving, scalability, sql, streaming, teamwork","angular, apache kafka, distributed systems, event processing, kotlin, problem solving, scalability, streaming","apache kafka, distributed systems, event processing, problem solving, scalability, streaming","angular, kotlin",8,6,75.0
79,Solution Architect,"business acumen, cassandra, communication, leadership, pandas, solution design, system architecture, technical expertise, user interface","agile, budget management, business acumen, communication, deep learning, leadership, perl, shell scripting, solution design, system architecture, technical expertise","business acumen, communication, leadership, solution design, system architecture, technical expertise","agile, budget management, deep learning, perl, shell scripting",11,6,54.55
80,Massage Therapist,"anatomy, ansible, cloudformation, communication, customer service, empathy, massage therapy, mobile security, mysql, php, problem solving","agile, anatomy, cassandra, communication, customer service, empathy, massage therapy, mobile security, problem solving","anatomy, communication, customer service, empathy, massage therapy, mobile security, problem solving","agile, cassandra",9,7,77.78
81,Executive Assistant,"cloudformation, communication, discretion, executive support, gcp, leadership support, organization, problem solving, responsive design, tableau","adobe creative suite, communication, discretion, executive support, leadership support, organization, problem solving","communication, discretion, executive support, leadership support, organization, problem solving",adobe creative suite,7,6,85.71
82,Mechanical Engineer,"cad, communication, jenkins, kotlin, mechanical design, penetration testing, physics, problem solving, prototyping, technical documentation, thermodynamics","azure, cad, mechanical design, network security, physics, problem solving, react, technical documentation, thermodynamics","cad, mechanical design, physics, problem solving, technical documentation, thermodynamics","azure, network security, react",9,6,66.67
83,DevOps Engineer,"app testing, aws, cassandra, cd, ci, docker, java, kubernetes, linux, react native, scripting, terraform","ansible, aws, cd, ci, docker, kubernetes, linux, node.js, penetration testing, query optimization, scripting","aws, cd, ci, docker, kubernetes, linux, scripting","ansible, node.js, penetration testing, query optimization",11,7,63.64
84,Sales Manager,"communication, crm, marketing, negotiation, perl, sales strategy, target setting, team leadership, tensorflow, typescript","azure, communication, creativity, crm, mongodb, negotiation, nosql, pl management, project management, rest api, sales strategy, scikit-learn, target setting, team leadership, terraform, typescript, user experience","communication, crm, negotiation, sales strategy, target setting, team leadership, typescript","azure, creativity, mongodb, nosql, pl management, project management, rest api, scikit-learn, terraform, user experience",17,7,41.18
85,Real Estate Agent,"communication, customer service, financial analysis, marketing, mentoring, negotiation, property knowledge, sales, shell scripting","communication, customer service, machine learning, marketing, negotiation, perl, property knowledge, sales","communication, customer service, marketing, negotiation, property knowledge, sales","machine learning, perl",8,6,75.0
86,Project Engineer,"communication, coordination, documentation, graphic design, leadership, problem solving, project management, technical knowledge","app testing, communication, coordination, documentation, jenkins, nosql, presentation skills, problem solving, project management, technical knowledge","communication, coordination, documentation, problem solving, project management, technical knowledge","app testing, jenkins, nosql, presentation skills",10,6,60.0
87,Customer Success Manager,"account management, adaptability, analytics, communication, customer relations, java, problem solving, product knowledge, react native, web design","account management, analytics, azure, business development, communication, customer relations, jupyter, mobile ui, problem solving, product knowledge, risk assessment, user interface, ux","account management, analytics, communication, customer relations, problem solving, product knowledge","azure, business development, jupyter, mobile ui, risk assessment, user interface, ux",13,6,46.15
88,Radiographer,"adobe creative suite, attention to detail, communication, imaging technology, patient care, radiation safety, sql, technical skills, tensorflow","agile, attention to detail, communication, imaging technology, patient care, radiation safety, react, technical skills, user interface","attention to detail, communication, imaging technology, patient care, radiation safety, technical skills","agile, react, user interface",9,6,66.67
89,Military Officer,"communication, discipline, leadership, perl, pl management, problem solving, react, safety, scrum, shell scripting, strategic planning","business acumen, communication, discipline, java, leadership, mentoring, mysql, power bi, problem solving, safety, security protocols, sql, strategic planning, vue.js","communication, discipline, leadership, problem solving, safety, strategic planning","business acumen, java, mentoring, mysql, power bi, security protocols, sql, vue.js",14,6,42.86
90,Swift Developer,"data analysis, figma, ios development, mobile development, problem solving, swift, ui, user interface, ux, xcode","data analysis, ios development, mobile development, penetration testing, problem solving, prototyping, rest api, swift, ui, ux, xcode","data analysis, ios development, mobile development, problem solving, swift, ui, ux, xcode","penetration testing, prototyping, rest api",11,8,72.73
91,Marketing Manager,"analytics, ansible, brand strategy, budget management, campaign management, communication, leadership, shell scripting","adobe creative suite, analytics, brand strategy, budget management, campaign management, communication, decision making, leadership, perl, power bi, presentation skills, sales, security architecture, shell scripting","analytics, brand strategy, budget management, campaign management, communication, leadership, shell scripting","adobe creative suite, decision making, perl, power bi, presentation skills, sales, security architecture",14,7,50.0
92,Social Media Content Creator,"analytics, communication, content creation, creativity, nosql, photography, pl management, query optimization, social media, videography","analytics, communication, content creation, creativity, nosql, photography, pl management, power bi, rest api, social media, videography","analytics, communication, content creation, creativity, nosql, photography, pl management, social media, videography","power bi, rest api",11,9,81.82
93,Clojure Developer,"clojure, concurrency, functional programming, java interop, lispyscript, mobile security, negotiation, php, problem solving, rust, vue.js","angular, business development, clojure, concurrency, deep learning, functional programming, java, java interop, lispyscript, microservices, mobile security, negotiation, problem solving, rest api, rust, swift","clojure, concurrency, functional programming, java interop, lispyscript, mobile security, negotiation, problem solving, rust","angular, business development, deep learning, java, microservices, rest api, swift",16,9,56.25
94,Looker Developer,"analytics, business development, dashboard development, data visualization, looker, lookml, php, risk assessment, shell scripting, sql","analytics, cassandra, critical thinking, dashboard development, data visualization, looker, lookml, microservices, scikit-learn, sql","analytics, dashboard development, data visualization, looker, lookml, sql","cassandra, critical thinking, microservices, scikit-learn",10,6,60.0
95,Safety Engineer,"adaptability, communication, leadership, microservices, mobile ui, negotiation, problem solving, regulatory knowledge, risk assessment, safety management, technical writing, ux","communication, leadership, problem solving, regulatory knowledge, risk assessment, safety management","communication, leadership, problem solving, regulatory knowledge, risk assessment, safety management",,6,6,100.0
