resume_index,actual_job_role,rank,recommended_job_role,semantic_similarity
10,Machine Learning Engineer,2,Security Engineer,48.04
10,Machine Learning Engineer,3,Cybersecurity Specialist,46.22
10,Machine Learning Engineer,4,Python Developer,44.23
10,Machine Learning Engineer,5,Machine Learning Engineer,42.13
11,Broadcast Technician,1,Broadcast Technician,60.58
11,Broadcast Technician,2,IT Field Technician,54.91
11,Broadcast Technician,3,Network Engineer,51.36
11,Broadcast Technician,4,Safety Engineer,51.05
11,Broadcast Technician,5,Security Engineer,49.47
12,Conservation Officer,1,Environmental Engineer,52.23
12,Conservation Officer,2,Environmental Scientist,45.37
12,Conservation Officer,3,Compliance Officer,42.96
12,Conservation Officer,4,Solutions Engineer,42.41
12,Conservation Officer,5,Sustainability Consultant,42.41
13,Clojure Developer,1,Clojure Developer,62.7
13,Clojure Developer,2,Software Engineer,48.17
13,Clojure Developer,3,Software Test Engineer,44.33
13,Clojure Developer,4,Haskell Developer,43.01
13,Clojure Developer,5,R Programmer,42.97
14,Technical Account Manager,1,Software Engineer,51.06
14,Technical Account Manager,2,Technical Account Manager,48.74
14,Technical Account Manager,3,Management Consultant,48.07
14,Technical Account Manager,4,Data Engineer,47.19
14,Technical Account Manager,5,Business Development Manager,46.51
15,IT Consultant,1,IT Consultant,52.64
15,IT Consultant,2,Solutions Engineer,48.67
15,IT Consultant,3,Software Engineer,48.15
15,IT Consultant,4,IT Field Technician,48.05
15,IT Consultant,5,IT Project Manager,47.1
16,Cassandra Developer,1,Cassandra Developer,62.63
16,Cassandra Developer,2,QA Engineer,39.47
16,Cassandra Developer,3,Data Engineer,38.79
16,Cassandra Developer,4,Analytics Engineer,38.17
16,Cassandra Developer,5,Software Test Engineer,37.72
17,Electrical Utilities Manager,1,Software Engineer,54.59
17,Electrical Utilities Manager,2,Solutions Engineer,52.97
17,Electrical Utilities Manager,3,Security Engineer,52.91
17,Electrical Utilities Manager,4,Safety Engineer,51.11
17,Electrical Utilities Manager,5,Electrical Engineer,51.1
18,Nail Technician,1,Nail Technician,50.21
18,Nail Technician,2,IT Field Technician,41.71
18,Nail Technician,3,Solutions Engineer,40.85
18,Nail Technician,4,Community Outreach Coordinator,40.35
18,Nail Technician,5,Electrician,38.6
19,Livestock Manager,1,Solutions Engineer,42.99
19,Livestock Manager,2,Strategy Consultant,41.43
19,Livestock Manager,3,Security Engineer,40.95
19,Livestock Manager,4,Management Consultant,40.67
19,Livestock Manager,5,Business Consultant,40.55
20,SAS Programmer,1,Data Engineer,56.45
20,SAS Programmer,2,Data Scientist,54.96
20,SAS Programmer,3,Analytics Engineer,54.4
20,SAS Programmer,4,Data Analyst,53.61
20,SAS Programmer,5,SAS Programmer,51.86
21,3D Artist,1,3D Artist,51.56
21,3D Artist,2,Instructional Designer,51.54
21,3D Artist,3,Software Engineer,50.33
21,3D Artist,4,Graphic Designer,49.29
21,3D Artist,5,Software Test Engineer,48.73
22,Esthetician,1,Esthetician,45.17
22,Esthetician,2,Instructional Designer,44.69
22,Esthetician,3,Solutions Engineer,37.22
22,Esthetician,4,Learning & Development Manager,36.18
22,Esthetician,5,Pre-Sales Engineer,35.59
23,Analytics Engineer,1,Data Scientist,55.7
23,Analytics Engineer,2,Data Engineer,53.83
23,Analytics Engineer,3,Analytics Engineer,51.38
23,Analytics Engineer,4,Academic Data Analyst,50.41
23,Analytics Engineer,5,Data Analyst,47.05
24,Informatica Developer,1,Data Engineer,51.98
24,Informatica Developer,2,Data Scientist,44.9
24,Informatica Developer,3,Analytics Engineer,44.09
24,Informatica Developer,4,SAS Programmer,39.56
24,Informatica Developer,5,SAP Developer,39.04
25,Data Analyst,1,Academic Data Analyst,49.26
25,Data Analyst,2,Analytics Engineer,48.24
25,Data Analyst,3,Data Scientist,44.8
25,Data Analyst,4,MongoDB Developer,43.71
25,Data Analyst,5,Data Engineer,43.56
26,Pharmacist,1,Pharmacist,49.11
26,Pharmacist,2,Clinical Data Manager,40.59
26,Pharmacist,3,Physician,40.56
26,Pharmacist,4,Management Consultant,37.67
26,Pharmacist,5,Business Consultant,37.43
27,Go Developer,1,Scrum Master,53.19
27,Go Developer,2,Salesforce Developer,46.67
27,Go Developer,3,Solutions Engineer,46.35
27,Go Developer,4,Software Engineer,45.66
27,Go Developer,5,Solution Architect,45.37
28,Conservation Officer,1,Environmental Engineer,56.55
28,Conservation Officer,2,Conservation Officer,45.53
28,Conservation Officer,3,Security Engineer,43.73
28,Conservation Officer,4,Sustainability Consultant,43.61
28,Conservation Officer,5,Software Test Engineer,42.95
29,Director,1,Business Development Manager,53.94
29,Director,2,Learning & Development Manager,52.16
29,Director,3,Management Consultant,50.59
29,Director,4,Strategy Consultant,44.97
29,Director,5,Chief Marketing Officer,43.86
30,Producer,1,Learning & Development Manager,49.74
30,Producer,2,Management Consultant,49.27
30,Producer,3,Business Development Manager,48.49
30,Producer,4,Project Engineer,46.02
30,Producer,5,Solutions Engineer,45.61
31,Game Developer,1,Software Test Engineer,53.66
31,Game Developer,2,Game Developer,52.76
31,Game Developer,3,Software Engineer,48.63
31,Game Developer,4,Data Engineer,47.17
31,Game Developer,5,Security Engineer,44.8
32,Geologist,1,Civil Engineer,45.61
32,Geologist,2,Software Engineer,44.63
32,Geologist,3,Solutions Engineer,44.15
32,Geologist,4,Data Engineer,44.1
32,Geologist,5,Project Engineer,42.23
33,Teacher,1,Learning & Development Manager,42.42
33,Teacher,2,Management Consultant,37.36
33,Teacher,3,Teacher,35.75
33,Teacher,4,Instructional Designer,35.47
33,Teacher,5,Training Manager,35.0
34,Editor,1,Content Marketing Manager,42.32
34,Editor,2,Journalist,41.51
34,Editor,3,Technical Writer,41.41
34,Editor,4,Software Engineer,38.62
34,Editor,5,Writer,36.97
35,Solutions Engineer,1,Solutions Engineer,51.58
35,Solutions Engineer,2,Pre-Sales Engineer,50.12
35,Solutions Engineer,3,Software Engineer,47.14
35,Solutions Engineer,4,Electronics Engineer,46.89
35,Solutions Engineer,5,Data Engineer,44.71
36,Email Marketing Specialist,1,Email Marketing Specialist,50.15
36,Email Marketing Specialist,2,Digital Marketing Manager,46.21
36,Email Marketing Specialist,3,Content Marketing Manager,44.41
36,Email Marketing Specialist,4,Marketing Manager,41.93
36,Email Marketing Specialist,5,Product Marketing Manager,41.36
37,Production Manager,1,Safety Engineer,48.31
37,Production Manager,2,Quality Assurance Manager,47.86
37,Production Manager,3,Data Engineer,45.28
37,Production Manager,4,Operations Manager,45.07
37,Production Manager,5,Security Engineer,43.87
38,IoT Engineer,1,IoT Engineer,54.26
38,IoT Engineer,2,Embedded Systems Engineer,49.1
38,IoT Engineer,3,Data Engineer,48.61
38,IoT Engineer,4,Electronics Engineer,44.74
38,IoT Engineer,5,IT Field Technician,44.2
39,COO,1,Business Development Manager,53.91
39,COO,2,Strategy Consultant,47.52
39,COO,3,Chief Marketing Officer,47.18
39,COO,4,Business Analyst,46.23
39,COO,5,Learning & Development Manager,45.95
40,ETL Developer,1,Data Engineer,56.12
40,ETL Developer,2,ETL Developer,49.53
40,ETL Developer,3,Oracle Applications Developer,47.63
40,ETL Developer,4,Oracle DBA,45.92
40,ETL Developer,5,Data Warehouse Architect,45.8
41,DevOps Engineer,1,DevOps Engineer,49.5
41,DevOps Engineer,2,Cloud Architect,40.55
41,DevOps Engineer,3,Solutions Engineer,38.79
41,DevOps Engineer,4,Salesforce Developer,37.11
41,DevOps Engineer,5,Software Engineer,36.32
42,Counselor,1,Counselor,53.74
42,Counselor,2,Psychologist,41.38
42,Counselor,3,Community Outreach Coordinator,40.63
42,Counselor,4,Management Consultant,40.58
42,Counselor,5,Scrum Master,39.64
43,Business Analyst,1,Business Development Manager,49.65
43,Business Analyst,2,SAP Developer,47.23
43,Business Analyst,3,Business Consultant,44.93
43,Business Analyst,4,Web Designer,42.88
43,Business Analyst,5,Enterprise Architect,41.99
44,Policy Advisor,1,Strategy Consultant,51.99
44,Policy Advisor,2,Security Engineer,43.98
44,Policy Advisor,3,Learning & Development Manager,42.87
44,Policy Advisor,4,Cybersecurity Analyst,42.51
44,Policy Advisor,5,Management Consultant,40.02
45,Massage Therapist,1,Massage Therapist,60.45
45,Massage Therapist,2,Physical Therapist,39.67
45,Massage Therapist,3,Occupational Therapist,37.17
45,Massage Therapist,4,Training Manager,36.19
45,Massage Therapist,5,Learning & Development Manager,33.37
46,Park Ranger,1,Environmental Engineer,55.76
46,Park Ranger,2,Environmental Scientist,48.83
46,Park Ranger,3,Conservation Officer,47.55
46,Park Ranger,4,Sustainability Consultant,43.97
46,Park Ranger,5,Safety Engineer,36.72
47,Botanist,1,Agricultural Engineer,53.06
47,Botanist,2,Project Engineer,44.87
47,Botanist,3,Solutions Engineer,44.53
47,Botanist,4,Learning & Development Manager,43.71
47,Botanist,5,Management Consultant,43.27
48,Data Analyst,1,Academic Data Analyst,52.4
48,Data Analyst,2,Analytics Engineer,48.68
48,Data Analyst,3,Data Analyst,47.16
48,Data Analyst,4,Data Engineer,46.46
48,Data Analyst,5,Data Scientist,45.64
49,Technical Account Manager,1,Software Engineer,55.13
49,Technical Account Manager,2,Learning & Development Manager,51.2
49,Technical Account Manager,3,Data Engineer,50.99
49,Technical Account Manager,4,IT Consultant,50.42
49,Technical Account Manager,5,Solutions Engineer,50.39
50,Strategy Consultant,1,Strategy Consultant,56.58
50,Strategy Consultant,2,Management Consultant,46.15
50,Strategy Consultant,3,Learning & Development Manager,46.0
50,Strategy Consultant,4,Shell Script Developer,44.71
50,Strategy Consultant,5,Scrum Master,43.21
51,Museum Curator,1,Solution Architect,44.28
51,Museum Curator,2,Museum Curator,43.7
51,Museum Curator,3,Management Consultant,41.19
51,Museum Curator,4,Content Marketing Manager,40.14
51,Museum Curator,5,Solutions Engineer,39.03
52,Physician,1,Medical Technologist,42.55
52,Physician,2,Occupational Therapist,41.33
52,Physician,3,Massage Therapist,40.45
52,Physician,4,Physician,35.95
52,Physician,5,Healthcare Administrator,35.71
53,Kotlin Developer,1,Software Engineer,54.07
53,Kotlin Developer,2,Electronics Engineer,48.66
53,Kotlin Developer,3,Mobile Developer Android,48.54
53,Kotlin Developer,4,Solutions Engineer,48.22
53,Kotlin Developer,5,Project Engineer,48.01
54,Store Manager,1,Learning & Development Manager,47.85
54,Store Manager,2,Customer Success Manager,46.0
54,Store Manager,3,Business Development Manager,44.65
54,Store Manager,4,Management Consultant,44.17
54,Store Manager,5,Scrum Master,44.06
55,Sous Chef,1,Chef,50.0
55,Sous Chef,2,Restaurant Manager,49.58
55,Sous Chef,3,Sous Chef,43.13
55,Sous Chef,4,Head Chef,42.52
55,Sous Chef,5,Pastry Chef,41.38
56,Park Ranger,1,Environmental Engineer,52.72
56,Park Ranger,2,Sustainability Consultant,42.13
56,Park Ranger,3,Environmental Scientist,41.69
56,Park Ranger,4,Learning & Development Manager,39.61
56,Park Ranger,5,Safety Engineer,39.05
57,Research Scientist,1,Scrum Master,66.18
57,Research Scientist,2,Software Engineer,44.57
57,Research Scientist,3,Learning & Development Manager,44.41
57,Research Scientist,4,Software Test Engineer,44.01
57,Research Scientist,5,Academic Data Analyst,43.13
58,Coach,1,Athletic Trainer,48.51
58,Coach,2,Training Manager,45.82
58,Coach,3,Sports Manager,44.32
58,Coach,4,Fitness Manager,41.32
58,Coach,5,Learning & Development Manager,38.21
59,Joomla Developer,1,Web Designer,53.79
59,Joomla Developer,2,Joomla Developer,51.95
59,Joomla Developer,3,Magento Developer,49.54
59,Joomla Developer,4,DevOps Engineer,48.92
59,Joomla Developer,5,Drupal Developer,47.86
60,Sales Executive,1,Product Marketing Manager,60.86
60,Sales Executive,2,Marketing Manager,59.85
60,Sales Executive,3,Digital Marketing Manager,53.73
60,Sales Executive,4,Content Marketing Manager,53.45
60,Sales Executive,5,Marketing Director,53.22
61,Cashier,1,Customer Success Manager,45.98
61,Cashier,2,Pre-Sales Engineer,43.15
61,Cashier,3,Product Marketing Manager,41.38
61,Cashier,4,Marketing Manager,40.07
61,Cashier,5,Retail Manager,39.65
62,Database Administrator,1,Data Engineer,47.13
62,Database Administrator,2,MongoDB Developer,47.08
62,Database Administrator,3,Financial Analyst,46.22
62,Database Administrator,4,Data Scientist,43.97
62,Database Administrator,5,Analytics Engineer,43.65
63,Salesforce Developer,1,Mobile Developer iOS,45.96
63,Salesforce Developer,2,Salesforce Developer,44.08
63,Salesforce Developer,3,Security Tester,42.88
63,Salesforce Developer,4,Security Engineer,41.76
63,Salesforce Developer,5,Data Engineer,41.05
64,Network Engineer,1,Network Engineer,49.32
64,Network Engineer,2,Security Engineer,41.97
64,Network Engineer,3,Learning & Development Manager,41.14
64,Network Engineer,4,Software Test Engineer,38.07
64,Network Engineer,5,Software Engineer,37.93
65,Announcer,1,Instructional Designer,44.22
65,Announcer,2,Sound Engineer,43.51
65,Announcer,3,Scala Developer,42.5
65,Announcer,4,IT Consultant,39.98
65,Announcer,5,Technical Writer,39.59
66,Drupal Developer,1,Drupal Developer,49.38
66,Drupal Developer,2,Software Engineer,47.99
66,Drupal Developer,3,Web Designer,47.28
66,Drupal Developer,4,Salesforce Developer,46.89
66,Drupal Developer,5,Magento Developer,46.86
67,Non-profit Director,1,Learning & Development Manager,50.84
67,Non-profit Director,2,Non-profit Director,49.87
67,Non-profit Director,3,Management Consultant,46.53
67,Non-profit Director,4,Business Development Manager,45.0
67,Non-profit Director,5,Training Manager,42.8
68,DevSecOps Engineer,1,Security Engineer,51.71
68,DevSecOps Engineer,2,DevOps Engineer,48.33
68,DevSecOps Engineer,3,Cybersecurity Specialist,48.0
68,DevSecOps Engineer,4,Solutions Engineer,47.84
68,DevSecOps Engineer,5,Software Engineer,46.52
69,Dentist,1,Clinical Data Manager,40.67
69,Dentist,2,Dentist,40.42
69,Dentist,3,Instructional Designer,37.13
69,Dentist,4,Counselor,35.61
69,Dentist,5,Esthetician,35.36
70,Sales Associate,1,Marketing Manager,43.07
70,Sales Associate,2,Product Marketing Manager,42.12
70,Sales Associate,3,Pre-Sales Engineer,41.94
70,Sales Associate,4,Customer Success Manager,41.76
70,Sales Associate,5,Strategy Consultant,41.52
71,Looker Developer,1,Analytics Engineer,54.55
71,Looker Developer,2,Data Engineer,52.3
71,Looker Developer,3,Data Scientist,45.1
71,Looker Developer,4,Data Analyst,44.99
71,Looker Developer,5,Academic Data Analyst,44.0
72,Real Estate Broker,1,Business Development Manager,47.53
72,Real Estate Broker,2,Real Estate Agent,46.38
72,Real Estate Broker,3,Real Estate Broker,44.42
72,Real Estate Broker,4,Learning & Development Manager,43.11
72,Real Estate Broker,5,Content Marketing Manager,41.18
73,Cashier,1,Pre-Sales Engineer,40.52
73,Cashier,2,Cashier,37.02
73,Cashier,3,IT Help Desk Technician,34.41
73,Cashier,4,IT Field Technician,34.28
73,Cashier,5,Technical Writer,33.74
74,Manufacturing Engineer,1,Solutions Engineer,55.05
74,Manufacturing Engineer,2,Manufacturing Engineer,54.38
74,Manufacturing Engineer,3,QA Engineer,54.09
74,Manufacturing Engineer,4,Security Engineer,53.26
74,Manufacturing Engineer,5,Electronics Engineer,52.8
75,Shopify Developer,1,Software Engineer,53.82
75,Shopify Developer,2,Software Architect,49.86
75,Shopify Developer,3,Data Engineer,49.1
75,Shopify Developer,4,Solutions Engineer,48.96
75,Shopify Developer,5,Business Development Manager,48.08
76,BI Analyst,1,Data Analyst,52.48
76,BI Analyst,2,Data Engineer,52.15
76,BI Analyst,3,Data Scientist,52.1
76,BI Analyst,4,Academic Data Analyst,49.96
76,BI Analyst,5,Business Analyst,49.49
77,Graphic Designer,1,Instructional Designer,52.27
77,Graphic Designer,2,Kotlin Developer,45.48
77,Graphic Designer,3,UX Designer,44.04
77,Graphic Designer,4,Web Designer,41.13
77,Graphic Designer,5,Software Engineer,40.96
78,Kafka Developer,1,Data Scientist,49.15
78,Kafka Developer,2,Data Engineer,48.44
78,Kafka Developer,3,Kafka Developer,48.34
78,Kafka Developer,4,Oracle Applications Developer,44.25
78,Kafka Developer,5,Academic Data Analyst,43.09
79,Solution Architect,1,Cassandra Developer,51.29
79,Solution Architect,2,Software Architect,51.09
79,Solution Architect,3,Solution Architect,49.03
79,Solution Architect,4,QA Engineer,47.33
79,Solution Architect,5,Systems Administrator,46.89
80,Massage Therapist,1,Massage Therapist,47.2
80,Massage Therapist,2,Solutions Engineer,40.56
80,Massage Therapist,3,Solution Architect,37.55
80,Massage Therapist,4,IT Field Technician,37.08
80,Massage Therapist,5,Scrum Master,37.01
81,Executive Assistant,1,Administrative Assistant,47.76
81,Executive Assistant,2,Executive Assistant,45.13
81,Executive Assistant,3,Cloud Architect,44.64
81,Executive Assistant,4,Compliance Officer,43.56
81,Executive Assistant,5,Technical Support Specialist,42.5
82,Mechanical Engineer,1,Mechanical Engineer,60.91
82,Mechanical Engineer,2,Automotive Engineer,52.37
82,Mechanical Engineer,3,Solutions Engineer,50.79
82,Mechanical Engineer,4,Civil Engineer,50.78
82,Mechanical Engineer,5,Aerospace Engineer,50.45
83,DevOps Engineer,1,Cassandra Developer,61.4
83,DevOps Engineer,2,DevOps Engineer,40.17
83,DevOps Engineer,3,Cloud Architect,38.63
83,DevOps Engineer,4,Hadoop Developer,37.23
83,DevOps Engineer,5,Kafka Developer,36.42
84,Sales Manager,1,Email Marketing Specialist,51.7
84,Sales Manager,2,Strategy Consultant,50.36
84,Sales Manager,3,Marketing Manager,49.81
84,Sales Manager,4,Business Development Manager,49.62
84,Sales Manager,5,Management Consultant,48.05
85,Real Estate Agent,1,Real Estate Agent,51.82
85,Real Estate Agent,2,Real Estate Broker,49.96
85,Real Estate Agent,3,Business Consultant,42.29
85,Real Estate Agent,4,Management Consultant,41.55
85,Real Estate Agent,5,Pre-Sales Engineer,40.49
86,Project Engineer,1,Software Engineer,55.21
86,Project Engineer,2,Project Engineer,55.2
86,Project Engineer,3,Solutions Engineer,51.34
86,Project Engineer,4,Software Test Engineer,48.39
86,Project Engineer,5,Learning & Development Manager,46.98
87,Customer Success Manager,1,Analytics Engineer,48.35
87,Customer Success Manager,2,Data Engineer,48.28
87,Customer Success Manager,3,Software Engineer,47.26
87,Customer Success Manager,4,Business Development Manager,47.05
87,Customer Success Manager,5,Solutions Engineer,46.88
88,Radiographer,1,Radiographer,52.43
88,Radiographer,2,Medical Technologist,48.44
88,Radiographer,3,IT Field Technician,46.74
88,Radiographer,4,Training Specialist,42.84
88,Radiographer,5,Software Engineer,42.15
89,Military Officer,1,Scrum Master,56.16
89,Military Officer,2,Learning & Development Manager,47.0
89,Military Officer,3,Strategy Consultant,45.63
89,Military Officer,4,Training Manager,40.79
89,Military Officer,5,Business Development Manager,39.6
90,Swift Developer,1,Swift Developer,57.18
90,Swift Developer,2,Software Engineer,52.58
90,Swift Developer,3,Data Engineer,52.54
90,Swift Developer,4,Mobile Developer iOS,50.95
90,Swift Developer,5,Software Test Engineer,49.64
91,Marketing Manager,1,Strategy Consultant,47.92
91,Marketing Manager,2,Marketing Manager,46.91
91,Marketing Manager,3,Product Marketing Manager,45.76
91,Marketing Manager,4,Marketing Director,43.58
91,Marketing Manager,5,Content Marketing Manager,42.76
92,Social Media Content Creator,1,Social Media Manager,53.74
92,Social Media Content Creator,2,Social Media Content Creator,49.4
92,Social Media Content Creator,3,Content Marketing Manager,46.8
92,Social Media Content Creator,4,Digital Marketing Manager,43.0
92,Social Media Content Creator,5,Content Creator,42.79
93,Clojure Developer,1,Clojure Developer,58.69
93,Clojure Developer,2,Security Engineer,45.95
93,Clojure Developer,3,Rust Developer,44.97
93,Clojure Developer,4,Software Engineer,44.06
93,Clojure Developer,5,Software Test Engineer,43.58
94,Looker Developer,1,Analytics Engineer,51.48
94,Looker Developer,2,Data Engineer,50.11
94,Looker Developer,3,Shell Script Developer,49.59
94,Looker Developer,4,SAP Developer,49.23
94,Looker Developer,5,Magento Developer,47.94
95,Safety Engineer,1,Safety Engineer,59.02
95,Safety Engineer,2,Security Engineer,49.31
95,Safety Engineer,3,QA Engineer,47.65
95,Safety Engineer,4,Solutions Engineer,46.78
95,Safety Engineer,5,Software Engineer,44.72
96,Audit Manager,1,Compliance Officer,53.87
96,Audit Manager,2,Audit Manager,48.09
96,Audit Manager,3,Quality Assurance Manager,47.46
96,Audit Manager,4,Business Development Manager,42.8
96,Audit Manager,5,Chief Marketing Officer,42.45
97,Director,1,Business Development Manager,55.66
97,Director,2,Compliance Officer,55.28
97,Director,3,Management Consultant,52.16
97,Director,4,Learning & Development Manager,48.8
97,Director,5,Strategy Consultant,47.36
98,QA Engineer,1,MongoDB Developer,46.69
98,QA Engineer,2,Software Test Engineer,40.97
98,QA Engineer,3,React Developer,38.71
98,QA Engineer,4,QA Engineer,37.68
98,QA Engineer,5,Analytics Engineer,36.56
99,Analytics Engineer,1,Data Engineer,52.54
99,Analytics Engineer,2,Data Scientist,50.73
99,Analytics Engineer,3,Analytics Engineer,50.08
99,Analytics Engineer,4,Software Engineer,44.28
99,Analytics Engineer,5,Academic Data Analyst,44.12
100,Security Tester,1,Cybersecurity Analyst,61.72
100,Security Tester,2,Cybersecurity Specialist,58.83
100,Security Tester,3,Security Tester,56.09
100,Security Tester,4,Security Engineer,55.79
100,Security Tester,5,Software Test Engineer,50.2
101,Massage Therapist,1,Massage Therapist,50.86
101,Massage Therapist,2,Management Consultant,44.57
101,Massage Therapist,3,IT Consultant,42.8
101,Massage Therapist,4,Business Consultant,42.05
101,Massage Therapist,5,Email Marketing Specialist,40.66
102,Veterinary Technician,1,Veterinary Technician,60.11
102,Veterinary Technician,2,Veterinarian,51.22
102,Veterinary Technician,3,Livestock Manager,43.78
102,Veterinary Technician,4,IT Field Technician,43.35
102,Veterinary Technician,5,Training Specialist,39.87
103,Machine Learning Engineer,1,Machine Learning Engineer,54.18
103,Machine Learning Engineer,2,Data Scientist,49.22
103,Machine Learning Engineer,3,AI/ML Specialist,48.64
103,Machine Learning Engineer,4,Software Engineer,46.79
103,Machine Learning Engineer,5,Learning & Development Manager,46.55
104,Magento Developer,1,Web Designer,48.9
104,Magento Developer,2,React Developer,46.48
104,Magento Developer,3,Data Engineer,44.43
104,Magento Developer,4,Drupal Developer,43.93
104,Magento Developer,5,Solutions Engineer,43.51
105,Law Clerk,1,Ruby Developer,46.94
105,Law Clerk,2,Law Clerk,45.86
105,Law Clerk,3,Lawyer,42.88
105,Law Clerk,4,Corporate Lawyer,37.66
105,Law Clerk,5,Paralegal,37.46
106,Microbiologist,1,Microbiologist,50.99
106,Microbiologist,2,R Programmer,49.51
106,Microbiologist,3,Academic Data Analyst,46.34
106,Microbiologist,4,Laboratory Manager,44.0
106,Microbiologist,5,Data Engineer,43.08
107,Restaurant Manager,1,Restaurant Manager,49.34
107,Restaurant Manager,2,Marketing Manager,48.07
107,Restaurant Manager,3,Customer Success Manager,47.21
107,Restaurant Manager,4,Management Consultant,44.49
107,Restaurant Manager,5,Learning & Development Manager,44.03
108,Jupyter Developer,1,Jupyter Developer,52.32
108,Jupyter Developer,2,Shell Script Developer,49.17
108,Jupyter Developer,3,Python Developer,48.39
108,Jupyter Developer,4,DevOps Engineer,43.83
108,Jupyter Developer,5,Data Engineer,41.28
109,3D Artist,1,Instructional Designer,46.78
109,3D Artist,2,Software Engineer,41.4
109,3D Artist,3,Software Test Engineer,40.95
109,3D Artist,4,Solutions Engineer,40.56
109,3D Artist,5,Software Architect,37.83
110,WordPress Developer,1,Shell Script Developer,56.08
110,WordPress Developer,2,Magento Developer,51.51
110,WordPress Developer,3,Web Designer,50.47
110,WordPress Developer,4,WordPress Developer,50.27
110,WordPress Developer,5,Drupal Developer,50.15
111,Cloud Architect,1,Security Engineer,44.75
111,Cloud Architect,2,Cloud Architect,42.98
111,Cloud Architect,3,DevOps Engineer,42.17
111,Cloud Architect,4,Cybersecurity Analyst,40.43
111,Cloud Architect,5,Oracle Applications Developer,40.13
112,TypeScript Developer,1,Software Engineer,49.54
112,TypeScript Developer,2,Data Engineer,47.39
112,TypeScript Developer,3,Security Engineer,47.19
112,TypeScript Developer,4,Solutions Engineer,46.97
112,TypeScript Developer,5,TypeScript Developer,46.31
113,Frontend Developer,1,Web Designer,48.58
113,Frontend Developer,2,Scrum Master,48.31
113,Frontend Developer,3,React Developer,47.66
113,Frontend Developer,4,UX Designer,46.94
113,Frontend Developer,5,Instructional Designer,42.79
114,Email Marketing Specialist,1,Email Marketing Specialist,52.89
114,Email Marketing Specialist,2,Digital Marketing Manager,47.37
114,Email Marketing Specialist,3,Marketing Manager,45.96
114,Email Marketing Specialist,4,Content Marketing Manager,44.41
114,Email Marketing Specialist,5,Product Marketing Manager,44.3
115,Public Administrator,1,Management Consultant,50.48
115,Public Administrator,2,Strategy Consultant,50.34
115,Public Administrator,3,Learning & Development Manager,48.81
115,Public Administrator,4,Chief Marketing Officer,46.88
115,Public Administrator,5,Business Development Manager,46.34
116,WordPress Developer,1,Web Designer,52.78
116,WordPress Developer,2,WordPress Developer,51.43
116,WordPress Developer,3,Magento Developer,51.16
116,WordPress Developer,4,Instructional Designer,49.78
116,WordPress Developer,5,Drupal Developer,48.81
117,Administrative Assistant,1,Administrative Assistant,44.86
117,Administrative Assistant,2,Database Administrator,42.59
117,Administrative Assistant,3,Systems Administrator,42.33
117,Administrative Assistant,4,Data Engineer,41.55
117,Administrative Assistant,5,Software Engineer,41.09
